Country;MilitaryExpenditure;Inflation;GPI;OECD;GDPpc;Division
United Kingdom;2.26;7.3;1.693;1;48.86660396;Europe
Botswana;2.53;5.1;1.762;0;7.249799326;Africa
Germany;1.52;6;1.456;1;52.74575571;Europe
Iraq;2.07;4.4;3.006;0;5.51247572;Asia
Latvia;2.27;9.1;1.582;1;23.18431167;Europe
New Zealand;1.22;5.7;1.313;1;48.52782892;Oceania
Ukraine;36.65;12.9;3.043;0;5.181362793;Europe
Dominican Republic;0.74;4.8;2.019;0;10.71601336;North America
Guatemala;0.41;6.2;2.13;0;5.797521596;North America
El Salvador;1.28;4;2.279;0;5.344214394;North America
Belgium;1.21;2.3;1.523;1;53.4752935;Europe
Romania;1.61;10.4;1.649;0;18.41941871;Europe
France;2.06;5.7;1.939;1;44.46081785;Europe
Saudi Arabia;7.09;2.3;2.26;0;28.89496335;Asia
Denmark;1.95;3.4;1.31;1;67.96738187;Europe
Portugal;1.52;5.3;1.333;1;27.27511155;Europe
Burundi;3.66;27;2.872;0;0.1995807602;Africa
China;1.67;0.2;2.009;0;12.61406099;Asia
Singapore;2.66;4.8;1.332;0;84.73425592;Asia
Tajikistan;1.22;3.7;2.114;0;1.188993038;Asia
Poland;3.83;11.4;1.634;1;22.11286157;Europe
Algeria;8.17;9.3;2.094;0;5.26020625;Africa
Mozambique;1.73;6.1;2.259;0;0.6084427076;Africa
Mauritius;0.15;7;1.546;0;11.41685899;Africa
Honduras;1.57;6.7;2.265;0;3.247231055;North America
Rwanda;1.27;14;2.051;0;1.000218923;Africa
Tanzania;1.15;4;2.058;0;1.211058594;Africa
Chile;1.63;7.6;1.874;1;17.09324197;South America
Türkiye;1.5;53.9;2.8;1;12.98575315;Europe
Cote d'Ivoire;0.89;4.4;2.053;0;2.728803246;Africa
Indonesia;0.68;3.7;1.829;0;4.940549805;Asia
Austria;0.84;7.7;1.316;1;56.50596828;Europe
Ireland;0.22;5.2;1.312;1;103.6848808;Europe
Kosovo;1.25;5.2;1.946;0;5.943125714;Europe
Belarus;1.8;5;2.248;0;7.829053137;Europe
Mali;3.83;2.1;2.963;0;0.8974486703;Africa
Malaysia;0.93;2.5;1.513;0;11.64867416;Asia
Congo, DR;1.16;19.9;3.214;0;0.6491439879;Africa
Russia;5.86;5.9;3.142;0;13.8170459;Europe
Kuwait;4.9;3.6;1.669;0;37.53321772;Asia
Slovakia;2.02;11;1.578;1;24.47023854;Europe
Serbia;2.85;12.4;1.921;0;11.36095951;Europe
Sierra Leone;0.56;47.7;1.792;0;0.4333741743;Africa
Angola;1.33;13.6;2.02;0;2.30952162;Africa
Ethiopia;0.79;30.2;2.872;0;1.293778008;Africa
Lithuania;2.72;8.7;1.671;1;27.10278153;Europe
Czechia;1.52;10.7;1.379;1;30.42742347;Europe
Argentina;0.47;133.5;1.837;0;13.73051471;South America
Tunisia;2.36;9.3;2.01;0;3.895386639;Africa
Madagascar;0.66;9.9;1.846;0;0.5286501548;Africa
South Africa;0.73;5.9;2.405;0;6.253161613;Africa
North Macedonia;1.7;9.4;1.713;0;8.146467975;Europe
Iran;2.06;41.5;2.8;0;4.502546329;Asia
Timor Leste;1.26;8.4;1.796;0;1.64864729;Asia
Philippines;1.25;6;2.229;0;3.725551205;Asia
Brazil;1.08;4.6;2.462;0;10.04362392;South America
Oman;5.4;0.9;1.794;0;23.29532996;Asia
Ghana;0.39;37.5;1.799;0;2.238158021;Africa
Armenia;5.45;2;1.929;0;8.715765336;Europe
Nigeria;0.81;24.7;2.713;0;1.621123515;Africa
Equatorial Guinea;1.59;2.5;2.013;0;7.066616593;Africa
Bangladesh;1.02;9;2.051;0;2.529080127;Asia
Zimbabwe;0.25;667.4;2.3;0;1.592416574;Africa
Cameroon;0.93;7.2;2.66;0;1.673648889;Africa
Estonia;2.87;9.1;1.563;1;29.82374961;Europe
Guinea-Bissau;1.46;7.2;2.045;0;0.9142751538;Africa
Thailand;1.17;1.2;2.061;0;7.171808093;Asia
Lesotho;1.54;6.3;2.191;0;0.8780085055;Africa
Egypt;0.87;24.4;2.267;0;3.512580065;Africa
Montenegro;1.63;8.6;1.772;0;12.01690742;Europe
